model,cot,max_new_tokens,accuracy,stepwise_accuracy,instances,runtime_minutes
qwen2.5-7b,True,128,0.09739130434782609,0.2356341380482829,1150,75.24367857509999
qwen2.5-7b,True,256,0.10260869565217391,0.23867069486404835,1150,76.48267207616668
qwen2.5-7b,True,512,0.10521739130434783,0.239853626081171,1150,77.02033330550003
