model,cot,max_new_tokens,accuracy,stepwise_accuracy,instances,runtime_minutes
qwen2.5-3b,True,128,0.4930434782608696,0.023083752589523526,1150,71.88521909963333
qwen2.5-3b,True,256,0.49826086956521737,0.027349432644748328,1150,73.42995331704999
qwen2.5-3b,True,512,0.4991304347826087,0.028181289947704823,1150,74.76255362039998
