model,cot,max_new_tokens,accuracy,stepwise_accuracy,instances,runtime_minutes
qwen2.5-0.5b,True,128,0.0017391304347826088,,1150,12.971847391999999
qwen2.5-0.5b,True,256,0.0017391304347826088,,1150,12.414790693699997
qwen2.5-0.5b,True,512,0.0017391304347826088,,1150,12.973652560833337
