correct_given_protocol,cot,depth,instances,invalid_rate,max_new_tokens,mean_generated_tokens,median_generated_tokens,model,protocol_compliance,semantic_accuracy,strict_accuracy,truncation_rate
1.0,False,7,50,0.88,256,12.16,11.0,qwen2.5-3b,0.12,0.9,0.12,0
0.9156626506024096,False,8,700,0.7628571428571429,256,13.56,10.0,qwen2.5-3b,0.23714285714285716,0.8842857142857142,0.21714285714285714,0
0.8877551020408163,False,12,100,0.02,512,12.88,13.0,qwen2.5-3b,0.98,0.89,0.87,0
0.9523809523809523,False,16,100,0.79,512,10.71,10.0,qwen2.5-3b,0.21,0.9,0.2,0
1.0,False,2,50,0.98,512,10.16,10.0,qwen2.5-3b,0.02,1,0.02,0
1.0,False,4,100,0.57,512,12.95,10.0,qwen2.5-3b,0.43,1,0.43,0
0.9565217391304348,False,6,50,0.54,512,11.5,10.0,qwen2.5-3b,0.46,0.96,0.44,0
1.0,False,7,50,0.88,512,12.16,11.0,qwen2.5-3b,0.12,0.9,0.12,0
0.9156626506024096,False,8,700,0.7628571428571429,512,13.56,10.0,qwen2.5-3b,0.23714285714285716,0.8842857142857142,0.21714285714285714,0
0.6,False,12,100,0.85,128,10.38,10.0,qwen2.5-7b,0.15,0.83,0.09,0
1.0,False,16,100,0.98,128,9.92,10.0,qwen2.5-7b,0.02,0.77,0.02,0
,False,2,50,1,128,10,10.0,qwen2.5-7b,0,1,0,0
1.0,False,4,100,0.65,128,11.05,10.0,qwen2.5-7b,0.35,1,0.35,0
0.6666666666666666,False,6,50,0.88,128,10.36,10.0,qwen2.5-7b,0.12,0.82,0.08,0
,False,7,50,1,128,11,11.0,qwen2.5-7b,0,0.66,0,0
0.9795918367346939,False,8,700,0.86,128,10.301428571428572,10.0,qwen2.5-7b,0.14,0.8785714285714286,0.13714285714285715,0
0.6,False,12,100,0.85,256,10.38,10.0,qwen2.5-7b,0.15,0.83,0.09,0
1.0,False,16,100,0.98,256,9.92,10.0,qwen2.5-7b,0.02,0.77,0.02,0
,False,2,50,1,256,10,10.0,qwen2.5-7b,0,1,0,0
1.0,False,4,100,0.65,256,11.05,10.0,qwen2.5-7b,0.35,1,0.35,0
0.6666666666666666,False,6,50,0.88,256,10.36,10.0,qwen2.5-7b,0.12,0.82,0.08,0
,False,7,50,1,256,11,11.0,qwen2.5-7b,0,0.66,0,0
0.9795918367346939,False,8,700,0.86,256,10.301428571428572,10.0,qwen2.5-7b,0.14,0.8785714285714286,0.13714285714285715,0
0.6,False,12,100,0.85,512,10.38,10.0,qwen2.5-7b,0.15,0.83,0.09,0
1.0,False,16,100,0.98,512,9.92,10.0,qwen2.5-7b,0.02,0.77,0.02,0
,False,2,50,1,512,10,10.0,qwen2.5-7b,0,1,0,0
1.0,False,4,100,0.65,512,11.05,10.0,qwen2.5-7b,0.35,1,0.35,0
0.6666666666666666,False,6,50,0.88,512,10.36,10.0,qwen2.5-7b,0.12,0.82,0.08,0
,False,7,50,1,512,11,11.0,qwen2.5-7b,0,0.66,0,0
0.9795918367346939,False,8,700,0.86,512,10.301428571428572,10.0,qwen2.5-7b,0.14,0.8785714285714286,0.13714285714285715,0
0.57,True,12,100,0,128,46.71,28.0,qwen2.5-7b,1,0.57,0.57,0
0.4,True,16,100,0,128,41.13,27.5,qwen2.5-7b,1,0.4,0.4,0
1.0,True,2,50,0,128,30.48,27.0,qwen2.5-7b,1,1,1,0
0.5257731958762887,True,4,100,0.03,128,42.39,27.0,qwen2.5-7b,0.97,0.53,0.51,0.04
