model,cot,max_new_tokens,accuracy,stepwise_accuracy,instances,runtime_minutes
qwen2.5-0.5b,False,128,0.4043478260869565,0.2139917695473251,1150,35.98011842666667
qwen2.5-0.5b,False,256,0.4078260869565217,0.238562091503268,1150,38.41874718021666
qwen2.5-0.5b,False,512,0.40869565217391307,0.25391849529780564,1150,39.235099284483326
